"shipping_mode","delivery_status","delivery_status_distribution"
"standard class","advance shipping","5831"
"standard class","late delivery","5774"
"second class","late delivery","3913"
"first class","late delivery","3814"
"standard class","shipping on time","2918"
"second class","shipping on time","1005"
"same day","shipping on time","735"
"standard class","shipping canceled","729"
"same day","late delivery","637"
"first class","shipping canceled","194"
"second class","shipping canceled","187"
"same day","shipping canceled","62"
