category_name_new,product_name,product_price,January_quantity,Febuary_quantity,quantity_differences,January_sales,February_sales,sales_differences
miscellaneous,"field & stream sportsman 16 gun fire safe",399.98,542,442,-100,216789.17,176791.16,-39998.01000000001
"sports equipment & accessories","perfect fitness perfect rip deck",59.99,2390,2005,-385,143376.1,120279.95,-23096.15000000001
footwear,"nike men's free 5.0+ running shoe",99.99,1138,946,-192,113788.62,94590.54,-19198.08
outdoor,"o'brien men's neoprene life vest",49.98,1892,1589,-303,94562.16,79418.22,-15143.940000000002
outdoor,"pelican sunstream 100 kayak",199.99,471,433,-38,94195.29,86595.67,-7599.619999999995
"sports equipment & accessories","diamondback women's serene classic comfort bi",299.98,415,392,-23,124491.7,117592.16,-6899.539999999994
"sports equipment & accessories","under armour girls' toddler spine surge runni",39.99,1036,918,-118,41429.64,36710.82,-4718.82
"clothing & apparel","nike men's dri-fit victory golf polo",50,1857,1807,-50,92850,90350,-2500
footwear,"adidas men's f10 messi trx fg soccer cleat",59.99,50,27,-23,2999.5,1619.73,-1379.77
"clothing & apparel","adidas youth germany black/red away match soc",70,47,32,-15,3290,2240,-1050
"sports equipment & accessories","under armour hustle storm medium duffle bag",34.99,39,13,-26,1364.61,454.87,-909.7399999999999
"clothing & apparel","nike women's legend v-neck t-shirt",25,44,9,-35,1100,225,-875
"sports equipment & accessories","bridgestone e6 straight distance nfl carolina",31.99,56,30,-26,1791.44,959.7,-831.74
footwear,"under armour women's micro g skulpt running s",54.97,24,9,-15,1319.28,494.73,-824.55
"sports equipment & accessories","glove it women's mod oval 3-zip carry all gol",21.99,60,26,-34,1319.4,571.74,-747.6600000000001
footwear,"nike men's comfort 2 slide",44.99,44,28,-16,1979.56,1259.72,-719.8399999999999
"sports equipment & accessories","titleist pro v1 high numbers personalized gol",51.99,36,25,-11,1871.64,1299.75,-571.8900000000001
"sports equipment & accessories","bag boy beverage holder",24.99,39,17,-22,974.61,424.83,-549.78
"sports equipment & accessories","nike women's tempo shorts",30,50,32,-18,1500,960,-540
footwear,"under armour women's ignite slide",31.99,37,24,-13,1183.63,767.76,-415.8700000000001
"clothing & apparel","columbia men's pfg anchor tough t-shirt",30,32,19,-13,960,570,-390
"sports equipment & accessories","hirzl women's soffft flex golf glove",17.99,36,15,-21,647.64,269.85,-377.78999999999996
"sports equipment & accessories","glove it urban brick golf towel",15.99,42,21,-21,671.58,335.79,-335.79
"clothing & apparel","under armour men's tech ii t-shirt",24.99,31,20,-11,774.69,499.8,-274.89000000000004
outdoor,"eno atlas hammock straps",29.99,48,39,-9,1439.52,1169.61,-269.9100000000001
"sports equipment & accessories","glove it women's mod oval golf glove",19.99,32,19,-13,639.68,379.81,-259.86999999999995
"sports equipment & accessories","bridgestone e6 straight distance nfl san dieg",31.99,32,24,-8,1023.68,767.76,-255.91999999999996
"sports equipment & accessories","team golf tennessee volunteers putter grip",24.99,25,15,-10,624.75,374.85,-249.89999999999998
"sports equipment & accessories","titleist pro v1x high numbers golf balls",47.99,35,30,-5,1679.65,1439.7,-239.95000000000005
"sports equipment & accessories","team golf st. louis cardinals putter grip",24.99,31,23,-8,774.69,574.77,-199.92000000000007
"sports equipment & accessories","team golf new england patriots putter grip",24.99,17,9,-8,424.83,224.91,-199.92
"sports equipment & accessories","titleist pro v1x golf balls",47.99,36,32,-4,1727.64,1535.68,-191.96000000000004
"sports equipment & accessories","team golf texas longhorns putter grip",24.99,29,22,-7,724.71,549.78,-174.93000000000006
"sports equipment & accessories","clicgear rovic cooler bag",39.99,24,20,-4,959.76,799.8,-159.96000000000004
"clothing & apparel","nike men's deutschland weltmeister winners bl",30,28,23,-5,840,690,-150
"sports equipment & accessories","hirzl women's hybrid golf glove",14.99,31,25,-6,464.69,374.75,-89.94
"sports equipment & accessories","glove it imperial golf towel",15.99,31,28,-3,495.69,447.72,-47.96999999999997
footwear,"under armour women's ignite pip vi slide",31.99,33,33,0,1055.67,1055.67,0
"sports equipment & accessories","hirzl men's hybrid golf glove",14.99,22,25,3,329.78,374.75,44.97000000000003
footwear,"adidas kids' f5 messi fg soccer cleat",34.99,18,20,2,629.82,699.8,69.9799999999999
"sports equipment & accessories","team golf san francisco giants putter grip",24.99,38,43,5,949.62,1074.57,124.94999999999993
"sports equipment & accessories","clicgear 8.0 shoe brush",9.99,31,49,18,309.69,489.51,179.82
"sports equipment & accessories","glove it women's imperial golf glove",19.99,27,38,11,539.73,759.62,219.89
footwear,"under armour kids' mercenary slide",27.99,20,29,9,559.8,811.71,251.91000000000008
"clothing & apparel","lija women's eyelet sleeveless golf polo",65,42,46,4,2730,2990,260
footwear,"under armour men's compression ev sl slide",44.99,25,31,6,1124.75,1394.69,269.94000000000005
"sports equipment & accessories","top flite women's 2014 xl hybrid",19.99,18,32,14,359.82,639.68,279.85999999999996
"sports equipment & accessories","bridgestone e6 straight distance nfl tennesse",31.99,16,25,9,511.84,799.75,287.91
"sports equipment & accessories","titleist pro v1x high numbers personalized go",51.99,44,50,6,2287.56,2599.5,311.94000000000005
"clothing & apparel","adidas men's germany black crest away tee",25,25,38,13,625,950,325
"sports equipment & accessories","team golf pittsburgh steelers putter grip",24.99,14,37,23,349.86,924.63,574.77
footwear,"nike dri-fit crew sock 6 pack",22,32,61,29,704,1342,638
"clothing & apparel","tyr boys' team digi jammer",39.99,22,51,29,879.78,2039.49,1159.71
footwear,"nike men's cj elite 2 td football cleat",129.99,620,642,22,80593.8,83453.58,2859.779999999999
