"product_name","product_price","num_of_transactions"
"perfect fitness perfect rip deck",59.99,"24515"
"nike men's cj elite 2 td football cleat",129.99,"22246"
"nike men's dri-fit victory golf polo",50,"21035"
"o'brien men's neoprene life vest",49.98,"19298"
"field & stream sportsman 16 gun fire safe",399.98,"17325"
"pelican sunstream 100 kayak",199.99,"15500"
"diamondback women's serene classic comfort bi",299.98,"13729"
"nike men's free 5.0+ running shoe",99.99,"12169"
"under armour girls' toddler spine surge runni",39.99,"10617"
"fighting video games",39.75,"838"
"children's heaters",357.1,"652"
"summer dresses",215.82,"650"
"web camera",452.04,"592"
"toys",11.54,"529"
"adult dog supplies",84.4,"492"
"porcelain crafts",461.48,"484"
"lawn mower",532.58,"484"
"dvds",164.38,"483"
"dell laptop",1500,"442"
"rock music",260.65,"434"
"industrial consumer electronics",252.88,"431"
"sports books",31.08,"405"
"first aid kit",293.04,"362"
"smart watch",327.75,"357"
"nike men's comfort 2 slide",44.99,"328"
"eno atlas hammock straps",29.99,"323"
"nike women's tempo shorts",30,"318"
"adidas youth germany black/red away match soc",70,"314"
"team golf st. louis cardinals putter grip",24.99,"313"
"under armour women's ignite slide",31.99,"311"
"hirzl women's hybrid golf glove",14.99,"311"
"bridgestone e6 straight distance nfl san dieg",31.99,"310"
"lija women's eyelet sleeveless golf polo",65,"309"
"bridgestone e6 straight distance nfl carolina",31.99,"308"
"nike dri-fit crew sock 6 pack",22,"308"
"glove it women's imperial golf glove",19.99,"307"
"titleist pro v1x high numbers personalized go",51.99,"306"
"adidas men's f10 messi trx fg soccer cleat",59.99,"305"
"columbia men's pfg anchor tough t-shirt",30,"304"
"top flite women's 2014 xl hybrid",19.99,"303"
"glove it imperial golf towel",15.99,"302"
"glove it urban brick golf towel",15.99,"300"
"team golf tennessee volunteers putter grip",24.99,"300"
"tyr boys' team digi jammer",39.99,"300"
"team golf texas longhorns putter grip",24.99,"299"
"under armour hustle storm medium duffle bag",34.99,"299"
"nike men's deutschland weltmeister winners bl",30,"298"
"hirzl women's soffft flex golf glove",17.99,"298"
"glove it women's mod oval 3-zip carry all gol",21.99,"295"
"team golf pittsburgh steelers putter grip",24.99,"295"
"team golf san francisco giants putter grip",24.99,"292"
"titleist pro v1 high numbers personalized gol",51.99,"292"
"titleist pro v1x golf balls",47.99,"291"
"adidas men's germany black crest away tee",25,"289"
"under armour women's micro g skulpt running s",54.97,"287"
"under armour women's ignite pip vi slide",31.99,"285"
"clicgear 8.0 shoe brush",9.99,"285"
"clicgear rovic cooler bag",39.99,"284"
"hirzl men's hybrid golf glove",14.99,"282"
"team golf new england patriots putter grip",24.99,"281"
"under armour men's compression ev sl slide",44.99,"280"
"under armour men's tech ii t-shirt",24.99,"280"
"nike women's legend v-neck t-shirt",25,"279"
"bag boy beverage holder",24.99,"279"
"glove it women's mod oval golf glove",19.99,"277"
"cds of rock",11.29,"271"
"titleist pro v1x high numbers golf balls",47.99,"265"
"adidas kids' f5 messi fg soccer cleat",34.99,"262"
"bridgestone e6 straight distance nfl tennesse",31.99,"257"
"under armour kids' mercenary slide",27.99,"251"
"men's gala suit",210.85,"208"
"baby sweater",59.08,"207"
"merrell men's all out flash trail running sho",109.99,"85"
"garmin approach s3 golf gps watch",249.99,"77"
"lija women's button golf dress",108,"76"
"elevation training mask 2.0",79.99,"74"
"lija women's mid-length panel golf shorts",100,"73"
"nike women's free 5.0 tr fit prt 4 training s",94.99,"70"
"cleveland golf women's 588 rtx cb satin chrom",119.99,"70"
"merrell women's siren mid waterproof hiking b",134.99,"70"
"merrell women's grassbow sport hiking shoe",99.99,"70"
"bag boy m330 push cart",79.99,"69"
"nike men's free tr 5.0 tb training shoe",99.99,"68"
"taylormade women's rbz sl rescue",129.99,"68"
"mio alpha heart rate monitor/sport watch",199,"67"
"brooks women's ghost 6 running shoe",89.99,"66"
"lija women's argyle golf polo",80,"66"
"adidas brazuca 2014 official match ball",159.99,"65"
"taylormade 2014 purelite stand bag",179.99,"65"
"cleveland golf collegiate my custom wedge 588",209.99,"65"
"yakima doubledown ace hitch mount 4-bike rack",189,"64"
"nike men's fingertrap max training shoe",124.99,"64"
"nike kids' grade school kd vi basketball shoe",99.99,"63"
"nike men's kobe ix elite low basketball shoe",199.99,"63"
"taylormade white smoke in-12 putter",99.99,"63"
"fitbit the one wireless activity & sleep trac",99.95,"62"
"ogio race golf shoes",169.99,"61"
"polar ft4 heart rate monitor",89.99,"60"
"insta-bed neverflat air mattress",149.99,"60"
"golfbuddy vt3 gps watch",199.99,"59"
"merrell women's grassbow sport waterproof hik",129.99,"58"
"the north face women's recon backpack",99,"57"
"polar loop activity tracker",109.95,"54"
"titleist small wheeled travel cover",249.99,"54"
"mdgolf pittsburgh penguins putter",79.99,"53"
"pelican maverick 100x kayak",349.99,"40"
"total gym 1400",299.99,"36"
"garmin approach s4 golf gps watch",299.99,"36"
"garmin forerunner 910xt gps watch",399.99,"35"
"titleist club glove travel cover",299.99,"34"
"gopro hero3+ black edition camera",399.99,"32"
"diamondback boys' insight 24 performance hybr",299.99,"29"
"diamondback girls' clarity 24 hybrid bike 201",299.99,"28"
"stiga master series st3100 competition indoor",329.99,"27"
"sole e35 elliptical",1999.99,"15"
"bushnell pro x7 jolt slope rangefinder",599.99,"11"
"sole e25 elliptical",999.99,"10"
"bowflex selecttech 1090 dumbbells",599.99,"10"
