product_name,product_price,num_of_transactions
"perfect fitness perfect rip deck",59.99,13473
"nike men's cj elite 2 td football cleat",129.99,12121
"nike men's dri-fit victory golf polo",50,11476
"o'brien men's neoprene life vest",49.98,10565
"field & stream sportsman 16 gun fire safe",399.98,9516
"pelican sunstream 100 kayak",199.99,8492
"diamondback women's serene classic comfort bi",299.98,7487
"nike men's free 5.0+ running shoe",99.99,6629
"under armour girls' toddler spine surge runni",39.99,5865
"fighting video games",39.75,455
"summer dresses",215.82,367
"children's heaters",357.1,348
"web camera",452.04,344
toys,11.54,291
"adult dog supplies",84.4,290
"porcelain crafts",461.48,271
"lawn mower",532.58,270
dvds,164.38,259
"rock music",260.65,248
"industrial consumer electronics",252.88,238
"sports books",31.08,229
"dell laptop",1500,224
"first aid kit",293.04,202
"smart watch",327.75,198
"team golf st. louis cardinals putter grip",24.99,197
"eno atlas hammock straps",29.99,188
"nike men's comfort 2 slide",44.99,183
"hirzl women's soffft flex golf glove",17.99,183
"bridgestone e6 straight distance nfl carolina",31.99,180
"adidas men's germany black crest away tee",25,176
"nike women's tempo shorts",30,176
"titleist pro v1 high numbers personalized gol",51.99,175
"lija women's eyelet sleeveless golf polo",65,175
"bridgestone e6 straight distance nfl san dieg",31.99,174
"under armour women's ignite slide",31.99,173
"under armour women's ignite pip vi slide",31.99,171
"under armour hustle storm medium duffle bag",34.99,170
"titleist pro v1x high numbers personalized go",51.99,170
"team golf texas longhorns putter grip",24.99,169
"nike men's deutschland weltmeister winners bl",30,169
"under armour men's tech ii t-shirt",24.99,168
"team golf tennessee volunteers putter grip",24.99,167
"glove it women's mod oval 3-zip carry all gol",21.99,166
"glove it imperial golf towel",15.99,165
"hirzl women's hybrid golf glove",14.99,165
"top flite women's 2014 xl hybrid",19.99,165
"under armour women's micro g skulpt running s",54.97,164
"glove it urban brick golf towel",15.99,164
"team golf pittsburgh steelers putter grip",24.99,164
"clicgear rovic cooler bag",39.99,164
"adidas youth germany black/red away match soc",70,162
"columbia men's pfg anchor tough t-shirt",30,162
"team golf san francisco giants putter grip",24.99,162
"glove it women's imperial golf glove",19.99,161
"nike women's legend v-neck t-shirt",25,160
"adidas men's f10 messi trx fg soccer cleat",59.99,158
"tyr boys' team digi jammer",39.99,157
"team golf new england patriots putter grip",24.99,155
"nike dri-fit crew sock 6 pack",22,155
"adidas kids' f5 messi fg soccer cleat",34.99,155
"bag boy beverage holder",24.99,155
"clicgear 8.0 shoe brush",9.99,153
"hirzl men's hybrid golf glove",14.99,152
"titleist pro v1x golf balls",47.99,151
"under armour men's compression ev sl slide",44.99,148
"titleist pro v1x high numbers golf balls",47.99,147
"bridgestone e6 straight distance nfl tennesse",31.99,146
"glove it women's mod oval golf glove",19.99,144
"cds of rock",11.29,141
"under armour kids' mercenary slide",27.99,135
"men's gala suit",210.85,113
"baby sweater",59.08,109
"garmin approach s3 golf gps watch",249.99,47
"nike women's free 5.0 tr fit prt 4 training s",94.99,42
"ogio race golf shoes",169.99,42
"lija women's button golf dress",108,42
"mio alpha heart rate monitor/sport watch",199,41
"lija women's mid-length panel golf shorts",100,41
"merrell men's all out flash trail running sho",109.99,41
"nike men's free tr 5.0 tb training shoe",99.99,39
"nike kids' grade school kd vi basketball shoe",99.99,38
"nike men's fingertrap max training shoe",124.99,38
"bag boy m330 push cart",79.99,38
"elevation training mask 2.0",79.99,37
"yakima doubledown ace hitch mount 4-bike rack",189,37
"taylormade 2014 purelite stand bag",179.99,37
"adidas brazuca 2014 official match ball",159.99,36
"cleveland golf collegiate my custom wedge 588",209.99,36
"merrell women's grassbow sport hiking shoe",99.99,36
"cleveland golf women's 588 rtx cb satin chrom",119.99,35
"titleist small wheeled travel cover",249.99,34
"taylormade white smoke in-12 putter",99.99,34
"lija women's argyle golf polo",80,33
"merrell women's siren mid waterproof hiking b",134.99,33
"polar ft4 heart rate monitor",89.99,32
"brooks women's ghost 6 running shoe",89.99,32
"fitbit the one wireless activity & sleep trac",99.95,32
"nike men's kobe ix elite low basketball shoe",199.99,31
"golfbuddy vt3 gps watch",199.99,30
"insta-bed neverflat air mattress",149.99,30
"the north face women's recon backpack",99,29
"taylormade women's rbz sl rescue",129.99,29
"mdgolf pittsburgh penguins putter",79.99,27
"polar loop activity tracker",109.95,26
"merrell women's grassbow sport waterproof hik",129.99,25
"pelican maverick 100x kayak",349.99,25
"total gym 1400",299.99,23
"gopro hero3+ black edition camera",399.99,21
"titleist club glove travel cover",299.99,21
"garmin approach s4 golf gps watch",299.99,19
"garmin forerunner 910xt gps watch",399.99,19
"diamondback boys' insight 24 performance hybr",299.99,18
"stiga master series st3100 competition indoor",329.99,14
"diamondback girls' clarity 24 hybrid bike 201",299.99,12
"sole e25 elliptical",999.99,7
"bushnell pro x7 jolt slope rangefinder",599.99,6
"sole e35 elliptical",1999.99,6
"bowflex selecttech 1090 dumbbells",599.99,6
